severity,query,num_urls,total_impressions,total_clicks,avg_position,intended_url,actual_winner,is_misaligned,intended_imp,winner_imp,urls
CRITICAL,commercial vent hood repair cost,2,348,0,5.41,/commercial/exhaust-hood-repair/,/price-list/commercial-exhaust-hood-repair-cost/,True,0,317,/price-list/commercial-exhaust-hood-repair-cost/::imp=317::pos=4.8::clk=0|/price-list/range-hood-repair-cost/::imp=31::pos=11.7::clk=0
CRITICAL,appliance repair near me,11,277,0,6.2,/,/west-hollywood/,True,0,140,/west-hollywood/::imp=140::pos=1.9::clk=0|/los-angeles/::imp=57::pos=1.0::clk=0|/pasadena/::imp=17::pos=14.5::clk=0|/thousand-oaks/::imp=12::pos=4.5::clk=0|/brentwood/::imp=11::pos=24.1::clk=0
MEDIUM,same day appliance repair,9,230,1,27.64,/,/,False,78,78,/::imp=78::pos=27.9::clk=0|/riverside-county/::imp=47::pos=59.0::clk=0|/los-angeles/::imp=35::pos=3.1::clk=0|/west-hollywood/::imp=33::pos=7.1::clk=1|/areas/los-angeles-and-surrounding-areas/::imp=11::pos=14.2::clk=0
CRITICAL,appliance repair west hollywood,1,174,0,4.8,/hollywood/,/west-hollywood/,True,0,174,/west-hollywood/::imp=174::pos=4.8::clk=0
CRITICAL,bosch appliance repair,2,166,0,1.0,/brands/bosch/,/west-hollywood/,True,0,133,/west-hollywood/::imp=133::pos=1.0::clk=0|/los-angeles/::imp=33::pos=1.0::clk=0
CRITICAL,lg repair west hollywood,1,142,0,1.0,/brands/lg/,/west-hollywood/,True,0,142,/west-hollywood/::imp=142::pos=1.0::clk=0
CRITICAL,commercial exhaust hood repair cost,2,133,0,6.8,/commercial/exhaust-hood-repair/,/price-list/commercial-exhaust-hood-repair-cost/,True,0,90,/price-list/commercial-exhaust-hood-repair-cost/::imp=90::pos=4.8::clk=0|/price-list/range-hood-repair-cost/::imp=43::pos=11.0::clk=0
CRITICAL,walk-in freezer repair near me,1,123,0,40.9,/services/refrigerator-repair/,/,True,0,123,/::imp=123::pos=40.9::clk=0
CRITICAL,same day appliance repair topanga,9,108,0,58.67,/,/los-angeles/,True,0,18,/los-angeles/::imp=18::pos=10.7::clk=0|/contact/::imp=15::pos=62.5::clk=0|/book/::imp=14::pos=65.1::clk=0|/el-segundo/::imp=13::pos=65.9::clk=0|/los-angeles-county/::imp=13::pos=70.1::clk=0
CRITICAL,dryer repair,7,93,0,14.32,/services/dryer-repair/,/west-hollywood/,True,0,37,/west-hollywood/::imp=37::pos=4.0::clk=0|/pasadena/::imp=15::pos=18.8::clk=0|/calabasas/::imp=10::pos=24.0::clk=0|/los-angeles/::imp=10::pos=1.0::clk=0|/agoura-hills/::imp=8::pos=41.6::clk=0
