status,query,prev_severity,prev_imp,curr_severity,curr_imp,winner_now,intended
PERSISTS,commercial vent hood repair cost,CRITICAL,2337,CRITICAL,348,/price-list/commercial-exhaust-hood-repair-cost/,/commercial/exhaust-hood-repair/
PERSISTS,appliance repair near me,CRITICAL,409,CRITICAL,277,/west-hollywood/,/
PERSISTS,appliance repair west hollywood,CRITICAL,209,CRITICAL,174,/west-hollywood/,/hollywood/
PERSISTS,bosch appliance repair,CRITICAL,167,CRITICAL,166,/west-hollywood/,/brands/bosch/
PERSISTS,lg repair west hollywood,CRITICAL,142,CRITICAL,142,/west-hollywood/,/brands/lg/
PERSISTS,commercial exhaust hood repair cost,CRITICAL,1438,CRITICAL,133,/price-list/commercial-exhaust-hood-repair-cost/,/commercial/exhaust-hood-repair/
PERSISTS,walk-in freezer repair near me,CRITICAL,153,CRITICAL,123,/,/services/refrigerator-repair/
PERSISTS,same day appliance repair topanga,CRITICAL,134,CRITICAL,108,/los-angeles/,/
PERSISTS,dryer repair,CRITICAL,183,CRITICAL,93,/west-hollywood/,/services/dryer-repair/
PERSISTS,refrigerator repair near me,CRITICAL,162,CRITICAL,88,/west-hollywood/,/services/refrigerator-repair/
PERSISTS,oven repair,CRITICAL,198,CRITICAL,68,/pasadena/,/services/oven-repair/
PERSISTS,refrigerator repair,CRITICAL,207,CRITICAL,66,/west-hollywood/,/services/refrigerator-repair/
PERSISTS,steam oven repair,CRITICAL,72,CRITICAL,58,/services/wall-oven-repair/,/services/oven-repair/
PERSISTS,dishwasher repair,CRITICAL,152,CRITICAL,55,/pasadena/,/services/dishwasher-repair/
HIGH_NOW,freezer repair cost,CRITICAL,109,HIGH,54,/price-list/commercial-walk-in-freezer-repair-cost/,/price-list/refrigerator-repair-cost/
PERSISTS,washing machine repair,CRITICAL,101,CRITICAL,54,/west-hollywood/,/services/washer-repair/
WORSENED,lg washer repair,HIGH,46,CRITICAL,46,/brands/lg/,/brands/lg-washer-repair-washer-repair/
PERSISTS,electric wall heater repair,CRITICAL,55,CRITICAL,45,/services/wall-heater-repair-los-angeles/,/
WORSENED,emergency ammonia refrigeration repair california,HIGH,48,CRITICAL,45,/commercial/refrigeration/,/
PERSISTS,appliance repair oak park ca,CRITICAL,72,CRITICAL,44,/thousand-oaks/,/oak-park/
WORSENED,24 hour industrial refrigeration service california,HIGH,40,CRITICAL,41,/commercial/refrigeration/,/
PERSISTS,appliance repair,CRITICAL,100,CRITICAL,41,/pasadena/,/
PERSISTS,appliance repair service,CRITICAL,76,CRITICAL,40,/los-angeles/,/
PERSISTS,walk in refrigerator repair,CRITICAL,71,CRITICAL,39,/,/services/refrigerator-repair/
PERSISTS,same day service,CRITICAL,54,CRITICAL,37,/book/,/
PERSISTS,slushi machine repair,CRITICAL,71,CRITICAL,37,/price-list/commercial-slushie-machine-repair-cost/,/
PERSISTS,stove repair,CRITICAL,112,CRITICAL,37,/services/stove-repair/,/services/oven-repair/
PERSISTS,wine fridge repair cost,CRITICAL,81,CRITICAL,37,/price-list/wine-cooler-repair-cost/,/price-list/refrigerator-repair-cost/
PERSISTS,refrigerator repair los angeles,CRITICAL,66,CRITICAL,36,/services/refrigerator-repair/,/los-angeles/refrigerator-repair/
PERSISTS,outdoor grill repair,CRITICAL,55,CRITICAL,35,/services/bbq-grill-repair-los-angeles/,/outdoor/grill-repair/
WORSENED,commercial pizza oven repair,HIGH,45,CRITICAL,33,/commercial/pizza-oven-repair/,/outdoor/pizza-oven-repair/
WORSENED,lg dishwasher repair,HIGH,36,CRITICAL,33,/brands/lg/,/brands/lg-dishwasher-repair-dishwasher-repair/
PERSISTS,dryer repair near me,CRITICAL,72,CRITICAL,32,/riverside-county/,/services/dryer-repair/
PERSISTS,washer repair,CRITICAL,73,CRITICAL,32,/pasadena/,/services/washer-repair/
PERSISTS,appliance repair north hollywood ca,CRITICAL,77,CRITICAL,31,/north-hollywood/,/hollywood/
RESOLVED,appliance repair santa monica ca,CRITICAL,64,MEDIUM,29,/santa-monica/,/santa-monica/
WORSENED,combi oven repair,HIGH,30,CRITICAL,29,/services/wall-oven-repair/,/commercial/combi-oven-repair/
PERSISTS,appliance repair moorpark ca,CRITICAL,61,CRITICAL,27,/thousand-oaks/,/moorpark/
WORSENED,appliance repair west los angeles,HIGH,46,CRITICAL,27,/west-hollywood/,/los-angeles/
WORSENED,portable bbq repair,HIGH,20,CRITICAL,27,/services/bbq-grill-repair-los-angeles/,/outdoor/grill-repair/
WORSENED,walk-in cooler repair near me,HIGH,33,CRITICAL,27,/,/commercial/walk-in-cooler-repair/
WORSENED,walk-in refrigerator repair,HIGH,42,CRITICAL,27,/,/services/refrigerator-repair/
WORSENED,commercial holding cabinet repair,HIGH,26,CRITICAL,26,/commercial/holding-cabinet-repair/,/
PERSISTS,commercial slushie machine repair,CRITICAL,54,CRITICAL,26,/price-list/commercial-slushie-machine-repair-cost/,/
WORSENED,wine cooler repair,HIGH,37,CRITICAL,26,/services/wine-cooler-repair-los-angeles/,/services/wine-cooler-repair/
PERSISTS,ac service cost,HIGH,41,HIGH,24,/price-list/air-conditioner-repair-cost/,/
RESOLVED,appliance repair marina del rey ca,HIGH,47,MEDIUM,24,/marina-del-rey/,/marina-del-rey/
PERSISTS,dacor appliance repair,HIGH,25,HIGH,24,/west-hollywood/,/brands/dacor/
PERSISTS,fireplace repair cost,HIGH,37,HIGH,24,/price-list/fireplace-repair-cost/,/outdoor/fireplace-repair/
PERSISTS,lg refrigerator repair,HIGH,32,HIGH,24,/brands/lg/,/brands/lg-refrigerator-repair-refrigerator-repair/
PERSISTS,refrigirator repair service,HIGH,43,HIGH,24,/los-angeles/,/
HIGH_NOW,same day stove repair oc,CRITICAL,68,HIGH,23,/contact/,/services/oven-repair/
PERSISTS,emergency industrial refrigeration repair california,HIGH,23,HIGH,22,/commercial/refrigeration/,/
