query,page,clicks,impressions,ctr,position
appliance repair culver city,https://samedayappliance.repair/culver-city/,1,10,0.1,31.8
dishwasher repair near me,https://samedayappliance.repair/thousand-oaks/,1,13,0.0769,1.0
same day appliance repair,https://samedayappliance.repair/west-hollywood/,1,33,0.0303,7.1
same day stove repair oc,https://samedayappliance.repair/book/,1,11,0.0909,30.1
thousand oaks appliance repair,https://samedayappliance.repair/thousand-oaks/,1,6,0.1667,1.2
"""same day appliance repair"" ""90048""",https://samedayappliance.repair/west-hollywood/,0,5,0.0,5.6
24 hour freezer repair,https://samedayappliance.repair/los-angeles/,0,6,0.0,48.8
24 hour industrial refrigeration service california,https://samedayappliance.repair/commercial/refrigeration/,0,21,0.0,61.2
24 hour industrial refrigeration service california,https://samedayappliance.repair/services/outdoor-refrigerator-repair/,0,20,0.0,67.8
24/7 industrial refrigeration service california,https://samedayappliance.repair/commercial/refrigeration/,0,8,0.0,60.8
24/7 industrial refrigeration service california,https://samedayappliance.repair/services/outdoor-refrigerator-repair/,0,6,0.0,69.2
ac maintenance cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,12,0.0,91.2
ac repair cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,21,0.0,77.3
ac repair man lake elsinore,https://samedayappliance.repair/lake-elsinore/,0,11,0.0,72.5
ac repair pacific palisades,https://samedayappliance.repair/pacific-palisades/,0,7,0.0,80.9
ac repair service in french valley,https://samedayappliance.repair/murrieta/,0,16,0.0,60.9
ac repair service in redlands,https://samedayappliance.repair/redlands/,0,23,0.0,75.0
ac repair toluca lake,https://samedayappliance.repair/toluca-lake/,0,11,0.0,28.8
ac service cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,24,0.0,81.0
ac tune up cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,6,0.0,97.5
after-sales service for industrial ovens,https://samedayappliance.repair/commercial/oven-repair/,0,6,0.0,89.3
air conditioner repair cost guide,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,5,0.0,69.4
air conditioner tune up cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,12,0.0,89.2
air conditioning repair pacific palisades,https://samedayappliance.repair/pacific-palisades/,0,6,0.0,72.5
air conditioning repair toluca lake,https://samedayappliance.repair/toluca-lake/,0,7,0.0,40.0
air conditioning service pacific palisades,https://samedayappliance.repair/pacific-palisades/,0,8,0.0,75.5
air cooler repair,https://samedayappliance.repair/services/commercial-walk-in-cooler-repair-los-angeles/,0,7,0.0,51.4
ammonia refrigeration repair california,https://samedayappliance.repair/services/outdoor-refrigerator-repair/,0,8,0.0,84.0
appliance installation burbank,https://samedayappliance.repair/burbank/,0,8,0.0,49.5
appliance installation pasadena,https://samedayappliance.repair/pasadena/,0,10,0.0,48.1
appliance maintenance burbank,https://samedayappliance.repair/burbank/,0,10,0.0,53.4
appliance maintenance pasadena,https://samedayappliance.repair/pasadena/,0,11,0.0,47.6
appliance repair,https://samedayappliance.repair/pasadena/,0,22,0.0,18.1
appliance repair,https://samedayappliance.repair/upland/,0,7,0.0,18.0
appliance repair,https://samedayappliance.repair/west-hollywood/,0,7,0.0,10.4
appliance repair,https://samedayappliance.repair/westlake-village/,0,5,0.0,17.8
appliance repair arcadia ca,https://samedayappliance.repair/arcadia/,0,10,0.0,37.4
appliance repair beverly,https://samedayappliance.repair/beverly-hills/,0,14,0.0,49.6
appliance repair beverly hills,https://samedayappliance.repair/beverly-hills/,0,10,0.0,36.4
appliance repair brentwood,https://samedayappliance.repair/brentwood/,0,16,0.0,39.9
appliance repair burbank,https://samedayappliance.repair/burbank/,0,26,0.0,50.8
appliance repair burbank ca,https://samedayappliance.repair/burbank/,0,25,0.0,46.0
appliance repair burbank california,https://samedayappliance.repair/burbank/,0,8,0.0,45.6
appliance repair business insurance,https://samedayappliance.repair/credentials/insured/,0,5,0.0,64.6
appliance repair calabasas,https://samedayappliance.repair/calabasas/,0,22,0.0,56.0
appliance repair camarillo ca,https://samedayappliance.repair/camarillo/,0,9,0.0,39.1
appliance repair corona ca,https://samedayappliance.repair/corona/,0,8,0.0,40.8
appliance repair downtown los angeles,https://samedayappliance.repair/areas/los-angeles-and-surrounding-areas/,0,6,0.0,44.3
appliance repair downtown los angeles,https://samedayappliance.repair/los-angeles-county/,0,8,0.0,62.0
appliance repair downtown los angeles,https://samedayappliance.repair/los-angeles/,0,21,0.0,25.1
appliance repair downtown los angeles,https://samedayappliance.repair/west-hollywood/,0,7,0.0,66.7
appliance repair estimate,https://samedayappliance.repair/price-list/,0,7,0.0,82.0
appliance repair fontana ca,https://samedayappliance.repair/fontana/,0,9,0.0,34.1
appliance repair glendale,https://samedayappliance.repair/glendale/,0,6,0.0,49.3
appliance repair glendale ca,https://samedayappliance.repair/glendale/,0,6,0.0,54.0
appliance repair highland park,https://samedayappliance.repair/highland-park/,0,19,0.0,32.7
appliance repair hollywood ca,https://samedayappliance.repair/hollywood/,0,19,0.0,22.8
appliance repair hollywood ca,https://samedayappliance.repair/west-hollywood/,0,5,0.0,5.0
appliance repair huntington beach ca,https://samedayappliance.repair/huntington-beach/,0,9,0.0,54.1
appliance repair in burbank,https://samedayappliance.repair/burbank/,0,7,0.0,53.1
appliance repair in pasadena,https://samedayappliance.repair/pasadena/,0,10,0.0,45.2
appliance repair in pasadena ca,https://samedayappliance.repair/pasadena/,0,8,0.0,46.4
appliance repair in pasadena ca,https://samedayappliance.repair/south-pasadena/,0,5,0.0,77.2
appliance repair in riverside,https://samedayappliance.repair/riverside-county/,0,5,0.0,56.8
appliance repair in riverside,https://samedayappliance.repair/riverside/,0,8,0.0,51.0
appliance repair in thousand oaks,https://samedayappliance.repair/thousand-oaks/,0,6,0.0,7.5
