source_file,target,anchor
src/components/AIDiagnosticBanner.astro,/ai-diagnostic/,Free Diagnostic →
src/components/BrandDetailPlaceholder.astro,/contact/,Book Online
src/components/BrandDetailPlaceholder.astro,/contact/,Book Service Same-day appointments across LA →
src/components/BrandHubPlaceholder.astro,/contact/,Book Online
src/components/BrandHubPlaceholder.astro,/services/,all appliance repair services
src/components/Footer.astro,/areas/,All Areas →
src/components/Footer.astro,/credentials/,BHGS Registration #A49573
src/components/Footer.astro,/credentials/,EPA 608 Universal #1346255700410
src/components/Footer.astro,/credentials/,CSLB C-20 HVAC License #1138898
src/components/Footer.astro,/credentials/,BBB Accredited Business · Verifiable
src/components/Footer.astro,/credentials/,Insured $1M General Liability
src/components/MegaMenu.astro,/services/,appliance services
src/components/MegaMenu.astro,/price-list/,View full price list →
src/components/MegaMenu.astro,/book/,Book a visit →
src/components/MegaMenu.astro,/contact/,Contact &amp; all 8 branches →
src/components/MegaMenu.astro,/credentials/,All credentials →
src/layouts/BlogLayout.astro,/blog/,← Blog
src/layouts/BlogLayout.astro,/contact/,Book Online
src/layouts/BlogLayout.astro,/blog/repair-vs-replace-refrigerator-la-guide/,Repair Tips Repair vs Replace: Refrigerator Decision Guide
src/layouts/BlogLayout.astro,/blog/why-dryer-takes-2-hours-diagnosis-guide/,Diagnosis Why Your Dryer Is Taking 2 Hours
src/layouts/BlogLayout.astro,/blog/la-hard-water-killing-dishwasher/,Maintenance LA Hard Water Is Killing Your Dishwasher
src/layouts/Layout.astro,/,Same Day Appliance Repair
src/layouts/Layout.astro,/book/,Book Online
src/pages/anaheim.astro,/anaheim/refrigerator-repair/,Refrigerator repair in Anaheim
src/pages/anaheim.astro,/anaheim/dryer-repair/,Dryer repair in Anaheim
src/pages/anaheim.astro,/anaheim/washer-repair/,Washer repair in Anaheim
src/pages/anaheim.astro,/anaheim/dishwasher-repair/,Dishwasher repair in Anaheim
src/pages/anaheim.astro,/anaheim/oven-repair/,Oven repair in Anaheim
src/pages/anaheim.astro,/anaheim/stove-repair/,Stove repair in Anaheim
src/pages/anaheim.astro,/anaheim/cooktop-repair/,Cooktop repair in Anaheim
src/pages/anaheim.astro,/anaheim/range-hood-repair/,Range hood repair in Anaheim
src/pages/anaheim.astro,/anaheim/microwave-repair/,Microwave repair in Anaheim
src/pages/anaheim.astro,/anaheim/wall-oven-repair/,Wall oven repair in Anaheim (Anaheim Hills premium tier)
src/pages/anaheim.astro,/anaheim/freezer-repair/,Freezer repair in Anaheim
src/pages/anaheim.astro,/anaheim/ice-maker-repair/,Ice maker repair in Anaheim
src/pages/anaheim.astro,/anaheim/wine-cooler-repair/,Wine cooler repair in Anaheim
src/pages/anaheim.astro,/anaheim/garbage-disposal-repair/,Garbage disposal repair in Anaheim
src/pages/anaheim.astro,/anaheim/range-repair/,Range repair in Anaheim
src/pages/beverly-hills.astro,/beverly-hills/refrigerator-repair/,Refrigerator repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/dryer-repair/,Dryer repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/washer-repair/,Washer repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/dishwasher-repair/,Dishwasher repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/oven-repair/,Oven repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/stove-repair/,Stove repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/cooktop-repair/,Cooktop repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/range-hood-repair/,Range hood repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/microwave-repair/,Microwave repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/wall-oven-repair/,Wall oven repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/freezer-repair/,Freezer repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/ice-maker-repair/,Ice maker repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/wine-cooler-repair/,Wine cooler repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/garbage-disposal-repair/,Garbage disposal repair in Beverly Hills
src/pages/beverly-hills.astro,/beverly-hills/range-repair/,Range repair in Beverly Hills
src/pages/book.astro,/for-business/,For Business
src/pages/burbank.astro,/burbank/refrigerator-repair/,Refrigerator repair in Burbank
src/pages/burbank.astro,/burbank/dryer-repair/,Dryer repair in Burbank
