severity,query,num_urls,total_impressions,total_clicks,avg_position,intended_url,actual_winner,is_misaligned,intended_imp,winner_imp,urls
CRITICAL,commercial vent hood repair cost,2,2337,0,6.81,/,/price-list/commercial-exhaust-hood-repair-cost/,True,0,2116,/price-list/commercial-exhaust-hood-repair-cost/::imp=2116::pos=6.3::clk=0|/price-list/range-hood-repair-cost/::imp=221::pos=11.7::clk=0
CRITICAL,commercial exhaust hood repair cost,2,1438,0,7.23,/,/price-list/commercial-exhaust-hood-repair-cost/,True,0,1032,/price-list/commercial-exhaust-hood-repair-cost/::imp=1032::pos=5.9::clk=0|/price-list/range-hood-repair-cost/::imp=406::pos=10.6::clk=0
CRITICAL,appliance repair near me,12,409,0,6.57,/,/west-hollywood/,True,0,179,/west-hollywood/::imp=179::pos=2.2::clk=0|/los-angeles/::imp=97::pos=1.0::clk=0|/pasadena/::imp=30::pos=14.0::clk=0|/thousand-oaks/::imp=21::pos=3.3::clk=0|/beverly-hills/::imp=19::pos=15.7::clk=0
MEDIUM,same day appliance repair,10,331,4,23.27,/,/,False,116,116,/::imp=116::pos=26.1::clk=1|/los-angeles/::imp=55::pos=4.1::clk=0|/west-hollywood/::imp=54::pos=7.4::clk=3|/riverside-county/::imp=47::pos=57.9::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=23::pos=11.3::clk=0
CRITICAL,appliance repair west hollywood,1,209,0,6.0,/hollywood/,/west-hollywood/,True,0,209,/west-hollywood/::imp=209::pos=6.0::clk=0
CRITICAL,refrigerator repair,10,207,0,20.11,/services/refrigerator-repair/,/west-hollywood/,True,0,64,/west-hollywood/::imp=64::pos=6.4::clk=0|/services/refrigerator-repair-los-angeles/::imp=38::pos=26.6::clk=0|/areas/los-angeles-and-surrounding-areas/::imp=21::pos=42.4::clk=0|/pasadena/::imp=18::pos=13.9::clk=0|/thousand-oaks/::imp=16::pos=17.5::clk=0
CRITICAL,oven repair,8,198,0,12.39,/services/oven-repair/,/los-angeles/,True,0,52,/los-angeles/::imp=52::pos=1.8::clk=0|/west-hollywood/::imp=41::pos=6.9::clk=0|/pasadena/::imp=37::pos=13.1::clk=0|/services/oven-repair-los-angeles/::imp=18::pos=20.2::clk=0|/beverly-hills/::imp=15::pos=13.1::clk=0
CRITICAL,dryer repair,8,183,0,15.79,/services/dryer-repair/,/west-hollywood/,True,0,64,/west-hollywood/::imp=64::pos=4.8::clk=0|/pasadena/::imp=32::pos=18.1::clk=0|/los-angeles/::imp=19::pos=1.0::clk=0|/beverly-hills/::imp=17::pos=21.3::clk=0|/calabasas/::imp=17::pos=27.7::clk=0
CRITICAL,bosch appliance repair,2,167,0,1.0,/brands/bosch/,/west-hollywood/,True,0,134,/west-hollywood/::imp=134::pos=1.0::clk=0|/los-angeles/::imp=33::pos=1.0::clk=0
CRITICAL,refrigerator repair near me,7,162,0,5.34,/services/refrigerator-repair/,/west-hollywood/,True,0,66,/west-hollywood/::imp=66::pos=1.0::clk=0|/los-angeles/::imp=29::pos=3.8::clk=0|/thousand-oaks/::imp=29::pos=1.7::clk=0|/pasadena/::imp=17::pos=11.6::clk=0|/redlands/::imp=8::pos=14.5::clk=0
