severity,query,intended,winner,option,files_to_change,imp_14d,est_monthly_reclaim_imp,num_urls,avg_position
CRITICAL,commercial vent hood repair cost,/,/price-list/commercial-exhaust-hood-repair-cost/,C,src/pages/index.astro (content expansion + add query cluster),2337,3005,2,6.81
CRITICAL,commercial exhaust hood repair cost,/,/price-list/commercial-exhaust-hood-repair-cost/,C,src/pages/index.astro (content expansion + add query cluster),1438,1849,2,7.23
CRITICAL,appliance repair near me,/,/west-hollywood/,C,src/pages/index.astro (content expansion + add query cluster),409,526,12,6.57
CRITICAL,appliance repair west hollywood,/hollywood/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/hollywood/),209,269,1,6.0
CRITICAL,refrigerator repair,/services/refrigerator-repair/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/services/refrigerator-repair/),207,266,10,20.11
CRITICAL,oven repair,/services/oven-repair/,/los-angeles/,A,src/pages/los-angeles.astro (add canonical→/services/oven-repair/),198,255,8,12.39
CRITICAL,dryer repair,/services/dryer-repair/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/services/dryer-repair/),183,235,8,15.79
CRITICAL,bosch appliance repair,/brands/bosch/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/brands/bosch/),167,215,2,1.0
CRITICAL,refrigerator repair near me,/services/refrigerator-repair/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/services/refrigerator-repair/),162,208,7,5.34
CRITICAL,walk-in freezer repair near me,/services/refrigerator-repair/,/,D,public/_redirects + astro.config.mjs (301 / → /services/refrigerator-repair/); delete src/pages/index.astro,153,197,1,44.4
CRITICAL,dishwasher repair,/services/dishwasher-repair/,/pasadena/,A,src/pages/pasadena.astro (add canonical→/services/dishwasher-repair/),152,195,9,23.83
CRITICAL,lg repair west hollywood,/brands/lg/,/west-hollywood/,A,src/pages/west-hollywood.astro (add canonical→/brands/lg/),142,183,1,1.0
CRITICAL,same day appliance repair topanga,/,/los-angeles/,C,src/pages/index.astro (content expansion + add query cluster),134,172,10,58.42
