query,page,clicks,impressions,position,ctr
same day appliance repair,https://samedayappliance.repair/west-hollywood/,3,54,7.4,0.0556
appliance repair culver city,https://samedayappliance.repair/culver-city/,1,19,28.9,0.0526
appliance repair thousand oaks,https://samedayappliance.repair/thousand-oaks/,1,34,18.7,0.0294
dishwasher repair near me,https://samedayappliance.repair/thousand-oaks/,1,32,1,0.0312
same day appliance repair,https://samedayappliance.repair/,1,116,26.1,0.0086
same day stove repair oc,https://samedayappliance.repair/book/,1,24,28.7,0.0417
thousand oaks appliance repair,https://samedayappliance.repair/thousand-oaks/,1,25,18.1,0.04
"""same day appliance repair"" ""90048""",https://samedayappliance.repair/los-angeles/,0,6,13.2,0
"""same day appliance repair"" ""90048""",https://samedayappliance.repair/west-hollywood/,0,6,4.8,0
24 hour freezer repair,https://samedayappliance.repair/los-angeles/,0,8,44.1,0
24 hour industrial refrigeration service california,https://samedayappliance.repair/commercial/refrigeration/,0,19,62.2,0
24 hour industrial refrigeration service california,https://samedayappliance.repair/services/outdoor-refrigerator-repair/,0,21,66.7,0
24/7 industrial refrigeration service california,https://samedayappliance.repair/commercial/refrigeration/,0,8,60.8,0
24/7 industrial refrigeration service california,https://samedayappliance.repair/services/outdoor-refrigerator-repair/,0,6,69.2,0
ac maintenance cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,12,91.2,0
ac repair cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,37,68.0,0
ac repair cost estimate los angeles,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,5,20.2,0
ac repair cost los angeles,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,6,22.7,0
ac repair man lake elsinore,https://samedayappliance.repair/lake-elsinore/,0,12,72.8,0
ac repair near me,https://samedayappliance.repair/thousand-oaks/,0,6,34.3,0
ac repair pacific palisades,https://samedayappliance.repair/pacific-palisades/,0,10,83.2,0
ac repair service in french valley,https://samedayappliance.repair/murrieta/,0,16,60.9,0
ac repair service in redlands,https://samedayappliance.repair/redlands/,0,29,77.9,0
ac repair silver lake,https://samedayappliance.repair/silver-lake/,0,5,15.8,0
ac repair toluca lake,https://samedayappliance.repair/toluca-lake/,0,18,32.2,0
ac service cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,41,72.5,0
ac tune up cost,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,11,91.5,0
adc dryer repair,https://samedayappliance.repair/services/commercial-dryer-repair-los-angeles/,0,6,15.7,0
after-sales service for industrial ovens,https://samedayappliance.repair/commercial/oven-repair/,0,6,89.3,0
air conditioner repair cost guide,https://samedayappliance.repair/price-list/air-conditioner-repair-cost/,0,6,71.5,0
air conditioner repair los angeles ca,https://samedayappliance.repair/services/air-conditioner-repair-los-angeles/,0,5,70.6,0
