hub,displaced_city,query,impressions,actual_winner,intended_url,severity
west-hollywood,hollywood,appliance repair west hollywood,209,/west-hollywood/,/hollywood/,CRITICAL
west-hollywood,services,refrigerator repair,207,/west-hollywood/,/services/refrigerator-repair/,CRITICAL
los-angeles,services,oven repair,198,/los-angeles/,/services/oven-repair/,CRITICAL
west-hollywood,services,dryer repair,183,/west-hollywood/,/services/dryer-repair/,CRITICAL
west-hollywood,brands,bosch appliance repair,167,/west-hollywood/,/brands/bosch/,CRITICAL
west-hollywood,services,refrigerator repair near me,162,/west-hollywood/,/services/refrigerator-repair/,CRITICAL
pasadena,services,dishwasher repair,152,/pasadena/,/services/dishwasher-repair/,CRITICAL
west-hollywood,brands,lg repair west hollywood,142,/west-hollywood/,/brands/lg/,CRITICAL
west-hollywood,services,washing machine repair,101,/west-hollywood/,/services/washer-repair/,CRITICAL
pasadena,services,washer repair,73,/pasadena/,/services/washer-repair/,CRITICAL
thousand-oaks,oak-park,appliance repair oak park ca,72,/thousand-oaks/,/oak-park/,CRITICAL
thousand-oaks,services,dryer repair near me,72,/thousand-oaks/,/services/dryer-repair/,CRITICAL
los-angeles,santa-monica,appliance repair santa monica ca,64,/los-angeles/,/santa-monica/,CRITICAL
thousand-oaks,moorpark,appliance repair moorpark ca,61,/thousand-oaks/,/moorpark/,CRITICAL
pasadena,services,fridge repair near me,48,/pasadena/,/services/refrigerator-repair/,HIGH
los-angeles,marina-del-rey,appliance repair marina del rey ca,47,/los-angeles/,/marina-del-rey/,HIGH
west-hollywood,services,emergency refrigerator repair,45,/west-hollywood/,/services/refrigerator-repair/,HIGH
west-hollywood,hollywood,appliance repair west hollywood ca,43,/west-hollywood/,/hollywood/,HIGH
thousand-oaks,simi-valley,appliance repair simi valley ca,41,/thousand-oaks/,/simi-valley/,HIGH
west-hollywood,brands,thermador repair,38,/west-hollywood/,/brands/thermador/,HIGH
thousand-oaks,services,dishwasher repair near me,32,/thousand-oaks/,/services/dishwasher-repair/,HIGH
pasadena,services,fridge repair,30,/pasadena/,/services/refrigerator-repair/,HIGH
west-hollywood,culver-city,appliane repair culver city ca,27,/west-hollywood/,/culver-city/,HIGH
west-hollywood,brands,lg washing machine repair near me,26,/west-hollywood/,/brands/lg-washer-repair/,HIGH
west-hollywood,brands,dacor appliance repair,25,/west-hollywood/,/brands/dacor/,HIGH
west-hollywood,studio-city,appliance repair studio city ca,18,/west-hollywood/,/studio-city/,LOW
thousand-oaks,services,oven repair near me,18,/thousand-oaks/,/services/oven-repair/,LOW
pasadena,services,cooktop repair,17,/pasadena/,/services/cooktop-repair/,LOW
los-angeles,manhattan-beach,appliance repair manhattan beach ca,15,/los-angeles/,/manhattan-beach/,LOW
los-angeles,services,dishwasher repair near me same day,14,/los-angeles/,/services/dishwasher-repair/,LOW
west-hollywood,services,west hills dryer repair,14,/west-hollywood/,/services/dryer-repair/,LOW
west-hollywood,services,west hills washer repair,13,/west-hollywood/,/services/washer-repair/,LOW
pasadena,services,cooktop repair near me,12,/pasadena/,/services/cooktop-repair/,LOW
west-hollywood,hollywood,water heater repair in west hollywood ca,12,/west-hollywood/,/hollywood/,LOW
west-hollywood,services,dryer repair near me same day,11,/west-hollywood/,/services/dryer-repair/,LOW
los-angeles,services,24 hour freezer repair,8,/los-angeles/,/services/refrigerator-repair/,LOW
west-hollywood,hollywood,refrigerator repair west hollywood,8,/west-hollywood/,/hollywood/refrigerator-repair/,LOW
west-hollywood,services,west hills stove repair,8,/west-hollywood/,/services/oven-repair/,LOW
west-hollywood,hollywood,washer repair west hollywood,7,/west-hollywood/,/hollywood/washer-repair/,LOW
beverly-hills,services,refrigerator repair service,6,/beverly-hills/,/services/refrigerator-repair/,LOW
west-hollywood,hollywood,dryer repair west hollywood,5,/west-hollywood/,/hollywood/dryer-repair/,LOW
west-hollywood,brands,ge washer repair near me,5,/west-hollywood/,/brands/ge-washer-repair-washer-repair/,LOW
thousand-oaks,services,washer and dryer repair near me free estimate,5,/thousand-oaks/,/services/washer-repair/,LOW
