slug,wordcount_rendered_live,h1,h2_count,size_kb,county_backlinks_live,state
los-angeles,2536,1,13,159,2,OK
el-segundo,2564,1,13,159,2,OK
fullerton,2582,1,11,158,2,OK
dana-point,2595,1,11,158,2,OK
glassell-park,2622,1,11,159,2,OK
ventura,2620,1,11,159,2,OK
camarillo,2649,1,11,159,2,OK
hemet,3183,1,13,164,2,OK
anaheim,2766,1,13,161,2,OK
burbank,2791,1,13,162,2,OK
irvine,2792,1,14,165,2,OK
thousand-oaks,2926,1,14,165,2,OK
pasadena,2901,1,14,164,2,OK
glendale,2986,1,13,163,2,OK
riverside,2990,1,11,164,2,OK
west-hollywood,3070,1,15,173,2,OK
santa-monica,3120,1,13,162,2,OK
beverly-hills,3156,1,15,167,2,OK
corona,3239,1,11,165,2,OK
fontana,3320,1,13,165,2,OK
rancho-cucamonga,3551,1,15,169,2,OK
temecula,3775,1,15,172,2,OK
note,"Sample of 26 city pillars (16 strategic + 10 random). All render 2500-3800 words via CityLayoutV2 + 14 components. All have 2 back-links to their county hub. No stubs found.",,,,,
