page,channel,sessions,total_users,new_users,page_views,avg_session_duration_s,engagement_rate
/,Direct,91,68,64,92,30.57,0.21
/,Organic Search,23,6,1,37,117.39,0.74
/,Unassigned,4,4,0,3,22.04,0.00
/,Organic Social,1,1,1,1,36.23,1.00
/,Referral,1,1,0,4,28.41,1.00
/west-hollywood/,Direct,16,12,9,19,96.22,0.44
/west-hollywood/,Organic Search,15,7,5,16,18.57,0.67
/west-hollywood/,Unassigned,1,1,1,3,114.50,1.00
/los-angeles/,Organic Search,15,3,2,22,246.99,0.87
/los-angeles/,Direct,12,12,10,12,131.82,0.50
/los-angeles/,Referral,2,1,1,2,45.19,0.50
/thousand-oaks/,Organic Search,7,6,6,7,164.75,0.57
/thousand-oaks/,Direct,4,4,3,4,38.29,0.50
/pasadena/,Direct,2,2,1,2,13.58,0.50
/pasadena/,Organic Search,1,1,0,1,14.38,1.00
/pasadena/,Unassigned,1,1,1,1,0.00,0.00
/irvine/,Direct,1,1,1,1,0.00,0.00
/irvine/,Organic Search,1,1,0,1,3.19,1.00
