page,source_medium,sessions,new_users
/,(direct) / (none),91,64
/,google / organic,23,1
/,(not set),4,0
/,blue.bbb.org / referral,1,0
/,yelp.com / referral,1,1
/west-hollywood/,(direct) / (none),16,9
/west-hollywood/,google / organic,15,5
/west-hollywood/,chatgpt.com / (not set),1,1
/los-angeles/,google / organic,15,2
/los-angeles/,(direct) / (none),12,10
/los-angeles/,hotfrog.com / referral,2,1
/thousand-oaks/,google / organic,7,6
/thousand-oaks/,(direct) / (none),4,3
/pasadena/,(direct) / (none),2,1
/pasadena/,chatgpt.com / (not set),1,1
/pasadena/,google / organic,1,0
/irvine/,(direct) / (none),1,1
/irvine/,google / organic,1,0
